participant_id,word,word_article,gender,age,last_degree,last_degree_parents,language_group,home_language,social_language,academic_language,english_level,professional_english,language_family
P01,Laptop,der,f,22,Bachelor,No degree,Kurdish,more L1,more german,2-3 days/week,4 good ,okay,Indo-European
P01,Call,der,f,22,Bachelor,No degree,Kurdish,more L1,more german,2-3 days/week,4 good ,okay,Indo-European
P01,Meeting,das,f,22,Bachelor,No degree,Kurdish,more L1,more german,2-3 days/week,4 good ,okay,Indo-European
P01,Update,das,f,22,Bachelor,No degree,Kurdish,more L1,more german,2-3 days/week,4 good ,okay,Indo-European
P01,Feedback,das,f,22,Bachelor,No degree,Kurdish,more L1,more german,2-3 days/week,4 good ,okay,Indo-European
P01,Influencer,der,f,22,Bachelor,No degree,Kurdish,more L1,more german,2-3 days/week,4 good ,okay,Indo-European
P01,Content,der,f,22,Bachelor,No degree,Kurdish,more L1,more german,2-3 days/week,4 good ,okay,Indo-European
P01,Design,das,f,22,Bachelor,No degree,Kurdish,more L1,more german,2-3 days/week,4 good ,okay,Indo-European
P01,Tool,das,f,22,Bachelor,No degree,Kurdish,more L1,more german,2-3 days/week,4 good ,okay,Indo-European
P01,Workshop,der,f,22,Bachelor,No degree,Kurdish,more L1,more german,2-3 days/week,4 good ,okay,Indo-European
P01,Agency,die,f,22,Bachelor,No degree,Kurdish,more L1,more german,2-3 days/week,4 good ,okay,Indo-European
P01,Agreement,das,f,22,Bachelor,No degree,Kurdish,more L1,more german,2-3 days/week,4 good ,okay,Indo-European
P01,Mockup,das,f,22,Bachelor,No degree,Kurdish,more L1,more german,2-3 days/week,4 good ,okay,Indo-European
P02,Laptop,der,f,23,Abitur,,Turkish,more L1,more german,less than 2 days/week,4 good ,okay,Turkic
P02,Call,der,f,23,Abitur,,Turkish,more L1,more german,less than 2 days/week,4 good ,okay,Turkic
P02,Meeting,das,f,23,Abitur,,Turkish,more L1,more german,less than 2 days/week,4 good ,okay,Turkic
P02,Update,das,f,23,Abitur,,Turkish,more L1,more german,less than 2 days/week,4 good ,okay,Turkic
P02,Feedback,das,f,23,Abitur,,Turkish,more L1,more german,less than 2 days/week,4 good ,okay,Turkic
P02,Influencer,der,f,23,Abitur,,Turkish,more L1,more german,less than 2 days/week,4 good ,okay,Turkic
P02,Content,der,f,23,Abitur,,Turkish,more L1,more german,less than 2 days/week,4 good ,okay,Turkic
P02,Design,das,f,23,Abitur,,Turkish,more L1,more german,less than 2 days/week,4 good ,okay,Turkic
P02,Tool,der,f,23,Abitur,,Turkish,more L1,more german,less than 2 days/week,4 good ,okay,Turkic
P02,Workshop,der,f,23,Abitur,,Turkish,more L1,more german,less than 2 days/week,4 good ,okay,Turkic
P02,Agency,die,f,23,Abitur,,Turkish,more L1,more german,less than 2 days/week,4 good ,okay,Turkic
P02,Agreement,der,f,23,Abitur,,Turkish,more L1,more german,less than 2 days/week,4 good ,okay,Turkic
